year,party,intervention,type,count
1956,Co-operative Commonwealth Federation (C.C.F.),6774,coal,44
1971,Progressive Conservative,17889,coal,36
1934,Labour,722,coal,7
1930,Labour,673,coal,21
1934,Independent,558,coal,18
1911,Conservative (1867-1942),9664,coal,69
1934,Liberal Progressive,66,coal,0
1974,Liberal,12348,coal,35
1930,Independent,231,coal,7
1930,Liberal Progressive,264,coal,1
1947,Independent Liberal,534,coal,0
1942,Progressive Conservative,279,coal,0
1955,Co-operative Commonwealth Federation (C.C.F.),5118,coal,75
1949,Independent C.C.F.,29,coal,2
1936,Independent Conservative,6,coal,0
1966,Ralliement Créditiste,2345,coal,4
1908,Conservative (1867-1942),15745,coal,92
1988,Independent Liberal,20,coal,0
1961,New Party,157,coal,1
1974,Progressive Conservative,9750,coal,82
1935,Progressive,119,coal,2
1971,Liberal,22726,coal,27
1980,New Democratic Party,4122,coal,43
1954,Progressive Conservative,8571,coal,33
1905,Conservative (1867-1942),14349,coal,73
1973,Independent,139,coal,0
1901,Independent Conservative,523,coal,6
1953,Progressive Conservative,9510,coal,43
1904,Liberal-Conservative,2213,coal,5
1950,Co-operative Commonwealth Federation (C.C.F.),3436,coal,45
1932,Conservative (1867-1942),13435,coal,92
1925,Independent Progressive,380,coal,5
1962,Social Credit,1261,coal,2
1998,Liberal,10802,coal,49
1968,Liberal,12278,coal,38
1965,Liberal,11900,coal,25
1979,Independent,53,coal,0
1943,Social Credit,1873,coal,45
1950,Liberal Progressive,32,coal,0
1950,Independent,129,coal,0
1908,Independent,28,coal,0
1959,Progressive Conservative,18143,coal,142
1908,Labour,3,coal,1
1990,Bloc Québécois,21,coal,0
1966,Social Credit,1086,coal,1
1944,National Government,11551,coal,64
1977,Liberal,22893,coal,55
1924,United Farmers of Alberta,106,coal,3
1996,Progressive Conservative,99,coal,1
1903,Liberal,8821,coal,113
1905,Independent,33,coal,0
1963,Liberal,16424,coal,47
2000,Bloc Québécois,3523,coal,34
1958,Independent Progressive Conservative,86,coal,2
1955,Independent,100,coal,2
2016,Independent,12,coal,0
1955,Liberal Progressive,92,coal,0
1932,Labour,705,coal,7
1985,New Democratic Party,9650,coal,61
1949,Bloc populaire canadien,30,coal,1
1932,Independent,421,coal,8
1932,Liberal Progressive,302,coal,0
1956,Liberal Progressive,101,coal,0
1931,Independent,674,coal,50
1996,Liberal,9950,coal,38
1956,Independent,99,coal,0
1931,Liberal Progressive,361,coal,1
1913,Liberal-Conservative,217,coal,0
1933,Conservative (1867-1942),12726,coal,103
1931,Labour,613,coal,9
1930,United Farmers of Ontario,4,coal,0
1923,United Farmers of Ontario,24,coal,1
1918,Conservative (1867-1942),510,coal,2
1970,Ralliement Créditiste,1327,coal,2
1963,Progressive Conservative,11608,coal,49
2016,New Democratic Party,3653,coal,20
1926,Progressive,2309,coal,43
1936,Independent Liberal,2,coal,0
1909,Conservative (1867-1942),14876,coal,87
1959,Liberal,13032,coal,163
1947,Independent Progressive Conservative,70,coal,0
1979,New Democratic Party,2641,coal,23
1952,Liberal Progressive,41,coal,0
1923,Conservative (1867-1942),10878,coal,103
1952,Independent,155,coal,2
1934,Conservative (1867-1942),14222,coal,96
1911,Independent,32,coal,0
1946,Social Credit,1731,coal,28
1930,Conservative (1867-1942),8267,coal,112
1911,Labour,56,coal,0
1945,Social Credit,1469,coal,13
1963,Independent Liberal,8,coal,0
1933,Independent Labour,61,coal,1
1993,Independent,27,coal,0
1995,Bloc Québécois,4567,coal,23
1969,Progressive Conservative,12352,coal,25
1939,Co-operative Commonwealth Federation (C.C.F.),3001,coal,37
1903,Independent Liberal,5,coal,0
1924,United Farmers of Ontario,27,coal,0
1919,Unionist,16918,coal,131
1937,Liberal,9853,coal,72
1948,Bloc populaire canadien,49,coal,0
1939,Conservative (1867-1942),8881,coal,79
1929,Liberal,11600,coal,94
1928,Liberal,12804,coal,124
1924,Conservative (1867-1942),13144,coal,140
2004,Progressive Conservative,620,coal,1
1902,Independent Conservative,136,coal,2
1934,Independent Labour,117,coal,1
1925,Liberal,15812,coal,205
1978,Liberal,19108,coal,44
2010,Independent,34,coal,0
1997,Progressive Conservative,834,coal,6
1921,Independent,30,coal,1
1933,United Farmers of Alberta,1007,coal,18
1921,Nationalist Liberal,580,coal,9
1915,Labour,50,coal,1
1927,Progressive,378,coal,2
1936,Liberal,14636,coal,73
1959,Independent Liberal,1,coal,0
1922,Progressive,3291,coal,55
1944,Unity,48,coal,0
1968,Independent Progressive Conservative,28,coal,0
1912,Labour,12,coal,1
1993,New Democratic Party,2879,coal,26
2015,Liberal,3800,coal,58
1923,United Farmers of Alberta,127,coal,1
1944,Liberal Progressive,74,coal,1
1901,Liberal,2936,coal,45
1944,Independent,491,coal,2
1934,United Farmers of Alberta,944,coal,8
1930,United Farmers of Alberta,991,coal,12
1964,New Democratic Party,6828,coal,15
1969,Liberal,17565,coal,33
1944,Co-operative Commonwealth Federation (C.C.F.),4287,coal,52
1921,Conservative (1867-1942),1493,coal,15
1992,New Democratic Party,4028,coal,48
1988,Progressive Conservative,22640,coal,131
1931,United Farmers of Alberta,915,coal,15
1915,Conservative (1867-1942),8358,coal,83
1950,Liberal Labour,30,coal,1
1947,Progressive Conservative,12856,coal,120
1942,Independent Liberal,195,coal,1
1961,Progressive Conservative,24351,coal,132
1920,Liberal,1795,coal,24
1912,Conservative (1867-1942),5107,coal,32
1955,Liberal Labour,295,coal,1
1958,Liberal,11325,coal,152
1991,New Democratic Party,4222,coal,62
1903,Independent Conservative,472,coal,4
2015,Forces et Démocratie,44,coal,0
1953,Independent Liberal,4,coal,0
1984,Liberal,14879,coal,44
1921,United Farmers of Ontario,11,coal,0
2003,New Democratic Party,1867,coal,68
1921,United Farmers,118,coal,4
1932,Independent Labour,58,coal,1
1931,Independent Labour,64,coal,2
1991,Independent,72,coal,2
1920,Laurier Liberal,8214,coal,93
1958,Progressive Conservative,16275,coal,146
2014,Forces et Démocratie,19,coal,1
1965,Independent Liberal,10,coal,0
1961,Liberal,15473,coal,95
2003,Independent,25,coal,0
1956,Liberal Labour,214,coal,0
1948,Independent C.C.F.,120,coal,0
1984,Progressive Conservative,13973,coal,68
2015,Conservative,10534,coal,174
1964,Co-operative Commonwealth Federation (C.C.F.),301,coal,0
1924,Labour,921,coal,7
1971,Independent Liberal,21,coal,0
1939,Liberal Progressive,127,coal,3
1939,Independent,335,coal,4
1924,Independent,28,coal,0
1947,Liberal,18365,coal,128
1972,Social Credit,884,coal,1
2004,Conservative,2767,coal,13
1932,United Farmers of Alberta,1449,coal,46
1942,New Democracy,9,coal,0
1914,Liberal-Conservative,63,coal,0
1960,Liberal Labour,1068,coal,5
1952,Liberal Labour,79,coal,0
1941,Unity,44,coal,0
1910,Liberal,13998,coal,109
1975,New Democratic Party,5207,coal,17
1912,Liberal-Conservative,478,coal,8
1904,Independent Labour,70,coal,0
1986,Liberal,11471,coal,53
1942,Social Credit,1523,coal,17
2000,Liberal,7727,coal,38
1974,Social Credit,863,coal,7
1948,Independent,128,coal,0
1940,Co-operative Commonwealth Federation (C.C.F.),1301,coal,35
1948,Liberal Progressive,2,coal,0
1999,New Democratic Party,2348,coal,45
1922,Independent Conservative,191,coal,5
1953,Social Credit,1278,coal,36
1940,Conservative (1867-1942),771,coal,6
1941,Independent,138,coal,3
1970,Liberal,18523,coal,43
1954,Social Credit,1214,coal,31
1941,Liberal Progressive,30,coal,0
1935,Liberal,10270,coal,29
1918,Unionist,6146,coal,71
1990,Liberal,9528,coal,54
1962,Progressive Conservative,18494,coal,89
1970,Progressive Conservative,13420,coal,39
1963,Ralliement Créditiste,1529,coal,2
1999,Independent,83,coal,0
1944,Bloc populaire canadien,80,coal,1
1990,Progressive Conservative,17726,coal,39
1962,Liberal,12310,coal,55
2013,Green,466,coal,10
1968,Social Credit,165,coal,1
1965,Social Credit,770,coal,0
1935,Progressive Conservative,27,coal,0
1920,Unionist (Liberal),1324,coal,9
1914,Conservative (1867-1942),14090,coal,157
1972,Independent Liberal,57,coal,0
1951,Liberal Labour,121,coal,0
1957,Liberal Labour,493,coal,0
1986,Progressive Conservative,24649,coal,81
1996,Bloc Québécois,4530,coal,44
1975,Independent,152,coal,0
2000,Progressive Conservative,1437,coal,27
1938,Liberal Progressive,171,coal,2
1938,Independent,663,coal,5
1922,Independent Progressive,135,coal,3
1971,Social Credit,1249,coal,2
1917,Independent Conservative,129,coal,8
1916,Liberal,11711,coal,101
1968,Ralliement Créditiste,1153,coal,3
1965,Ralliement Créditiste,1562,coal,0
1938,Co-operative Commonwealth Federation (C.C.F.),1911,coal,5
1983,Independent,67,coal,2
1963,Social Credit,2010,coal,10
1987,Liberal,11673,coal,111
1949,Liberal Labour,9,coal,0
1927,Independent Liberal,7,coal,0
1914,Labour,77,coal,6
1994,New Democratic Party,716,coal,2
1971,Ralliement Créditiste,463,coal,1
1943,Liberal,15502,coal,142
2013,Independent,199,coal,1
1966,Liberal,26773,coal,65
1945,Progressive Conservative,6780,coal,51
1926,Liberal,12441,coal,153
1938,Conservative (1867-1942),10578,coal,78
1940,Unity,16,coal,0
1943,Progressive Conservative,1577,coal,16
1946,Liberal,15241,coal,98
1998,Bloc Québécois,3133,coal,36
1966,Progressive Conservative,16402,coal,108
1945,Liberal,10806,coal,67
1941,Co-operative Commonwealth Federation (C.C.F.),1823,coal,36
1983,New Democratic Party,6752,coal,171
2011,Bloc Québécois,1206,coal,10
1944,Labour Progressive,79,coal,0
1941,Conservative (1867-1942),710,coal,7
1940,Liberal Progressive,24,coal,0
1948,Co-operative Commonwealth Federation (C.C.F.),5937,coal,102
1940,Independent,162,coal,2
1994,Independent,14,coal,0
1987,Progressive Conservative,25550,coal,127
1966,Independent Liberal,11,coal,0
1904,Independent,76,coal,4
1989,Reform,40,coal,0
1945,New Democracy,2,coal,1
1940,National Government,5509,coal,38
1943,Independent Liberal,134,coal,2
1910,Independent Conservative,116,coal,0
1990,Independent Conservative,22,coal,1
1927,Liberal,7254,coal,93
2012,Independent,158,coal,0
1919,Independent,19,coal,1
1967,Co-operative Commonwealth Federation (C.C.F.),253,coal,0
1937,Social Credit,550,coal,13
1936,United Farmers of Ontario-Labour,89,coal,1
1922,Liberal,7650,coal,96
1909,Liberal-Conservative,732,coal,22
1929,Progressive,682,coal,3
1928,Progressive,626,coal,6
2005,Independent,68,coal,0
1991,Reform,32,coal,1
1949,Conservative (1867-1942),1,coal,0
1981,New Democratic Party,4784,coal,33
1925,Progressive,8480,coal,107
2012,New Democratic Party,13926,coal,66
2004,Canadian Alliance,2722,coal,7
1978,Social Credit,809,coal,2
1916,Independent Conservative,166,coal,2
1946,Independent Liberal,580,coal,0
1921,Unionist,10585,coal,134
1917,Liberal,18984,coal,300
1913,Conservative (1867-1942),6505,coal,29
1982,Progressive Conservative,15257,coal,97
1992,Reform,25,coal,0
1945,Independent Liberal,338,coal,0
1951,Independent,368,coal,2
1937,United Farmers of Ontario-Labour,51,coal,0
1936,Social Credit,839,coal,17
1951,Liberal Progressive,68,coal,0
1957,Liberal Progressive,55,coal,0
1949,Co-operative Commonwealth Federation (C.C.F.),5007,coal,75
1957,Independent,137,coal,0
1943,New Democracy,25,coal,0
1997,Bloc Québécois,3112,coal,26
1951,Co-operative Commonwealth Federation (C.C.F.),5295,coal,72
1957,Co-operative Commonwealth Federation (C.C.F.),6123,coal,24
1949,Liberal Progressive,16,coal,0
1969,Ralliement Créditiste,2139,coal,6
1949,Independent,158,coal,2
1993,Reform,22,coal,0
1958,Social Credit,409,coal,24
1911,Liberal-Conservative,329,coal,16
1926,Independent Conservative,139,coal,6
1967,New Democratic Party,5583,coal,70
1913,Labour,15,coal,2
1966,Independent Progressive Conservative,352,coal,0
1910,Independent Liberal,9,coal,0
1972,Progressive Conservative,6878,coal,26
2014,Bloc Québécois,136,coal,2
1995,Liberal,11845,coal,59
2015,Bloc Québécois,91,coal,0
2006,Independent,20,coal,0
1919,United Farmers,1,coal,0
1945,Independent Progressive Conservative,9,coal,0
1920,Progressive,314,coal,2
1905,Liberal-Conservative,1660,coal,12
1946,Independent Progressive Conservative,15,coal,0
1941,National Government,7462,coal,28
2012,Green,700,coal,2
1904,Conservative (1867-1942),14147,coal,50
1967,Independent,866,coal,0
1920,United Farmers of Ontario-Labour,15,coal,0
1947,Social Credit,2102,coal,40
1972,Liberal,9171,coal,22
1995,Progressive Conservative,127,coal,0
1962,Independent Liberal,3,coal,0
1908,Liberal-Conservative,858,coal,6
2009,Independent,24,coal,0
1919,Conservative (1867-1942),266,coal,10
1946,Progressive Conservative,10692,nuclear,3
1948,Liberal,16392,nuclear,1
1973,Progressive Conservative,19871,nuclear,37
1975,Progressive Conservative,16532,nuclear,121
1975,Liberal,23973,nuclear,183
1976,Progressive Conservative,14901,nuclear,190
1976,Liberal,20417,nuclear,151
1976,Social Credit,1102,nuclear,2
1976,New Democratic Party,4322,nuclear,83
1977,Progressive Conservative,16764,nuclear,127
1977,Social Credit,991,nuclear,6
1978,Progressive Conservative,13109,nuclear,75
1980,Progressive Conservative,10571,nuclear,69
1981,Progressive Conservative,15279,nuclear,72
1982,Liberal,20631,nuclear,85
1985,Progressive Conservative,25634,nuclear,97
1988,Liberal,8938,nuclear,104
1989,New Democratic Party,4484,nuclear,73
1990,New Democratic Party,6022,nuclear,61
1991,Progressive Conservative,13572,nuclear,55
1994,Reform,5958,nuclear,16
1997,Liberal,8061,nuclear,64
1997,Reform,4463,nuclear,23
1997,New Democratic Party,1166,nuclear,15
1999,Reform,6223,nuclear,30
2000,Canadian Alliance,75,nuclear,0
2000,New Democratic Party,1897,nuclear,14
2001,New Democratic Party,2157,nuclear,39
2001,Liberal,11369,nuclear,77
2001,Canadian Alliance,6220,nuclear,56
2001,Progressive Conservative,1827,nuclear,22
2002,Bloc Québécois,3337,nuclear,93
2002,Canadian Alliance,6377,nuclear,78
2002,Liberal,11121,nuclear,88
2002,New Democratic Party,1889,nuclear,65
2002,Progressive Conservative,1748,nuclear,15
2003,Liberal,10019,nuclear,82
2003,Bloc Québécois,2916,nuclear,29
2004,Liberal,9444,nuclear,35
2004,Bloc Québécois,2842,nuclear,14
2005,Liberal,10752,nuclear,13
2005,Bloc Québécois,3392,nuclear,6
2005,Conservative,8071,nuclear,16
2005,New Democratic Party,2195,nuclear,7
2006,Liberal,7524,nuclear,18
2006,Bloc Québécois,3093,nuclear,8
2006,Conservative,10677,nuclear,23
2006,New Democratic Party,3921,nuclear,11
2007,Liberal,8717,nuclear,59
2007,Bloc Québécois,3502,nuclear,47
2007,New Democratic Party,4841,nuclear,39
2007,Conservative,12362,nuclear,75
2008,New Democratic Party,3497,nuclear,98
2008,Liberal,6953,nuclear,71
2008,Bloc Québécois,2780,nuclear,56
2008,Conservative,10054,nuclear,58
2009,New Democratic Party,6650,nuclear,82
2009,Liberal,9156,nuclear,100
2009,Bloc Québécois,4434,nuclear,58
2009,Conservative,13468,nuclear,104
2010,New Democratic Party,6075,nuclear,79
2010,Liberal,8176,nuclear,60
2010,Conservative,12269,nuclear,71
2010,Bloc Québécois,3872,nuclear,58
2011,Conservative,12737,nuclear,34
2011,New Democratic Party,9010,nuclear,20
2011,Liberal,5257,nuclear,28
2012,Liberal,5344,nuclear,30
2013,Conservative,14842,nuclear,78
2013,New Democratic Party,11652,nuclear,110
2014,New Democratic Party,13401,nuclear,128
2014,Liberal,4914,nuclear,31
2014,Conservative,16871,nuclear,119
